_unit_id,_created_at,_updated_at,_golden,b1,b2,changid,e1,e2,numrankelems,rank,relation,relation_type,selectedby,sentence,sentrelscore,term1,term2,totalworkers,unitid,direction_gold,direction_gold_reason
379131957,12/16/2013 22:23:36,12/26/2013 19:41:29,,117,13,DA-013,124,27,1,2,diagnoses,TWrex-diagnose,0,A worthwhile [SCREENING TEST] requires a balance between the sensitivity and specificity to ensure that those having a [DISEASE] are correctly identified as having it and those without the disease are not identified as having it.,0.9965457582,[DISEASE],[SCREENING TEST],13,227301413,,
379131958,12/16/2013 22:23:36,12/26/2013 17:51:17,,111,4,671,114,19,8,1,diagnoses,TWrex-diagnose,6,The [TUBERCULIN TEST] was positive in 22 (71%) patients with definite tbc and in 29 (60%) patients with probable [TBC].,0.8307471607,[TBC],[TUBERCULIN TEST],11,282840286,,
379131959,12/16/2013 22:23:36,12/26/2013 00:08:46,,68,4,670,71,19,7,1,diagnoses,TWrex-diagnose,5,The [TUBERCULIN TEST] was positive in 22 (71%) patients with definite [TBC] and in 29 (60%) patients with probable tbc.,0.7715167498,[TBC],[TUBERCULIN TEST],9,282840479,,
379131960,12/16/2013 22:23:36,12/26/2013 00:08:46,,151,40,664,169,70,9,1,diagnoses,TWrex-diagnose,6,"Serum cortisol levels, the results of a [DEXAMETHASONE SUPPRESSION TEST] and an adrenal scintigram with 131I-19-iodocholesterol were all compatible with [CUSHING'S SYNDROME] due to an adrenal adenoma that secretes cortisol autonomously.",0.75,[CUSHING'S SYNDROME],[DEXAMETHASONE SUPPRESSION TEST],11,282840675,,
379131961,12/16/2013 22:23:36,12/26/2013 19:23:44,,174,105,663,184,135,7,1,diagnoses,TWrex-diagnose,5,"This study was conducted to assess the predictive value of different variables including the response to [DEXAMETHASONE SUPPRESSION TEST] (DST), in 105 patients with resistant [DEPRESSION] after the addition of lithium (600 to 800 mg/day) for 4 weeks to antidepressant medication.",0.6108472218,[DEPRESSION],[DEXAMETHASONE SUPPRESSION TEST],12,282840674,,
379131962,12/16/2013 22:23:36,12/26/2013 17:57:15,,9,117,SA-025,19,131,2,1,is symptom of,TWrex-symptom,11,"Redness ([HYPERAEMIA]), irritation ( chemosis) and watering (epiphora) of the eyes are symptoms common to all forms of [CONJUNCTIVITIS].",0.9958932065,[HYPERAEMIA],[CONJUNCTIVITIS],12,227301390,,
379131963,12/16/2013 22:23:36,12/26/2013 17:57:14,,86,22,SA-006,96,32,5,1,is symptom of,TWrex-symptom,7,"In a modern context, ""[MELANCHOLY]"" applies only to the mental or emotional symptoms of [DEPRESSION] or despondency; historically, ""melancholia"" could be physical as well as mental, and melancholic conditions were classified as such by their common cause rather than by their properties.",0.953998092,[DEPRESSION],[MELANCHOLY],11,225527733,,
379131964,12/16/2013 22:23:36,12/26/2013 17:50:53,,10,66,21,17,69,9,1,is symptom of,TWrex-symptom,40,Transient [STRIDOR] and nystagmus were early signs in both types of [PMD].,0.9478660384,[STRIDOR],[PMD],49,M,,
379131965,12/16/2013 22:23:36,12/26/2013 17:57:14,,115,9,SA-039,124,21,4,1,is symptom of,TWrex-symptom,12,"However, [NEPHROPTOSIS] can be characterized by violent attacks of colicky flank pain, nausea, chills, hypertension, [HEMATURIA] and proteinuria.",0.9428090416,[HEMATURIA],[NEPHROPTOSIS],14,227816704,,
379131966,12/16/2013 22:23:36,12/26/2013 19:41:29,,138,218,SA-005,146,226,3,1,is symptom of,TWrex-symptom,4,"In chronic cases, hair loss, dry skin, drying of the mucous membranes, fever, insomnia, fatigue, weight loss, bone fractures, anemia, and [DIARRHEA] can all be evident on top of the symptoms associated with less serious [TOXICITY].",0.8164965809,[DIARRHEA],[TOXICITY],8,225527732,,
379131967,12/16/2013 22:23:36,12/26/2013 17:41:42,,70,0,22,95,24,14,1,is symptom of,TWrex-symptom,26,[MYELODYSPLASTIC SYNDROME]s (MDS) are clonal disorders characterized by [INEFFECTIVE HEMATOPOIESIS] with rare occurrence in childhood.,0.8010776193,[INEFFECTIVE HEMATOPOIESIS],[MYELODYSPLASTIC SYNDROME],51,M,,
379131968,12/16/2013 22:23:36,12/26/2013 05:32:05,,20,75,CA-006,29,84,4,1,is symptom of,TWrex-cause,3,"However, persistent [INFECTION]s are common and most patients develop chronic [HEPATITIS C], i.e., infection lasting more than 6 months.",0.7071067812,[INFECTION],[HEPATITIS C],8,225527737,,
